"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Mixed","56","1,008","20:31","20:31","2:02","1:08","32","142","169","533","10","313"
"","1.1","Freestyle","1","18","0:21.3","0:21.3","1:58","1:58","29","95","98","8","--","--"
"","1.2","Freestyle","1","18","0:19.3","0:40.6","1:47","1:47","26","106","116","7","--","--"
"","1.3","Freestyle","1","18","0:19.5","1:00.1","1:48","1:48","29","117","117","9","--","--"
"","1.4","Freestyle","1","18","0:21.3","1:21.3","1:58","1:58","30","117","119","9","--","--"
"","1.5","Freestyle","1","18","0:19.5","1:40.8","1:48","1:48","28","118","120","8","--","--"
"","1.6","Freestyle","1","18","0:21.7","2:02.5","2:00","2:00","31","113","114","9","--","--"
"","1.7","Freestyle","1","18","0:21.4","2:23.9","1:59","1:59","30","122","129","9","--","--"
"","1.8","Freestyle","1","18","0:22.3","2:46.1","2:04","2:04","31","127","129","9","--","--"
"","1.9","Freestyle","1","18","0:20.4","3:06.6","1:54","1:54","30","126","128","10","--","--"
"","1.10","Freestyle","1","18","0:23.7","3:30.2","2:12","2:12","34","133","135","10","--","--"
"","1.11","Freestyle","1","18","0:23.9","3:54.1","2:13","2:13","33","134","135","9","--","--"
"","1.12","Freestyle","1","18","0:20.8","4:14.9","1:55","1:55","30","131","134","9","--","--"
"","1.13","Freestyle","1","18","0:18.1","4:32.9","1:40","1:40","27","127","130","9","--","--"
"","1.14","Freestyle","1","18","0:23.4","4:56.3","2:10","2:10","33","126","127","10","--","--"
"","1.15","Freestyle","1","18","0:21.4","5:17.7","1:59","1:59","29","127","128","8","--","--"
"","1.16","Freestyle","1","18","0:21","5:38.7","1:57","1:57","30","130","131","9","--","--"
"","1.17","Freestyle","1","18","0:23.2","6:01.9","2:09","2:09","33","132","135","10","--","--"
"","1.18","Freestyle","1","18","0:22.9","6:24.8","2:07","2:07","33","134","135","10","--","--"
"","1.19","Freestyle","1","18","0:18.8","6:43.6","1:44","1:44","28","133","134","9","--","--"
"","1.20","Freestyle","1","18","0:25.4","7:09.0","2:21","2:21","35","130","133","10","--","--"
"","1.21","Freestyle","1","18","0:24.3","7:33.2","2:15","2:15","34","137","141","10","--","--"
"","1.22","Freestyle","1","18","0:23.3","7:56.5","2:09","2:09","33","138","139","10","--","--"
"","1.23","Freestyle","1","18","0:17","8:13.5","1:34","1:34","26","133","137","9","--","--"
"","1.24","Freestyle","1","18","0:26.9","8:40.4","2:29","2:29","38","138","141","11","--","--"
"","1.25","Freestyle","1","18","0:13.9","8:54.3","1:17","1:17","23","148","152","9","--","--"
"","1.26","Freestyle","1","18","0:25.8","9:20.1","2:23","2:23","36","153","157","10","--","--"
