"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Freestyle","40","720","14:37","14:37","2:02","1:23","31","139","171","373","9","218"
"","1.1","Freestyle","1","18","0:22.7","0:22.7","2:06","2:06","32","98","108","9","--","--"
"","1.2","Freestyle","1","18","0:20.1","0:42.7","1:51","1:51","29","114","119","9","--","--"
"","1.3","Freestyle","1","18","0:18.8","1:01.5","1:44","1:44","28","129","131","9","--","--"
"","1.4","Freestyle","1","18","0:20.3","1:21.7","1:52","1:52","28","133","140","8","--","--"
"","1.5","Freestyle","1","18","0:18.9","1:40.6","1:45","1:45","28","133","138","9","--","--"
"","1.6","Freestyle","1","18","0:22.7","2:03.3","2:06","2:06","33","130","131","10","--","--"
"","1.7","Freestyle","1","18","0:21.8","2:25.1","2:01","2:01","31","129","131","9","--","--"
"","1.8","Freestyle","1","18","0:21.1","2:46.1","1:57","1:57","30","130","132","9","--","--"
"","1.9","Freestyle","1","18","0:22.7","3:08.8","2:06","2:06","33","130","132","10","--","--"
"","1.10","Freestyle","1","18","0:19.1","3:27.9","1:46","1:46","27","133","134","8","--","--"
"","1.11","Freestyle","1","18","0:26.2","3:54.1","2:26","2:26","37","129","132","11","--","--"
"","1.12","Freestyle","1","18","0:19.9","4:14.1","1:51","1:51","29","136","144","9","--","--"
"","1.13","Freestyle","1","18","0:23.9","4:38.0","2:13","2:13","33","142","145","9","--","--"
"","1.14","Freestyle","1","18","0:21.1","4:59.1","1:57","1:57","31","140","142","10","--","--"
"","1.15","Freestyle","1","18","0:21.1","5:20.2","1:57","1:57","30","141","142","9","--","--"
"","1.16","Freestyle","1","18","0:23.3","5:43.5","2:10","2:10","32","139","140","9","--","--"
"","1.17","Freestyle","1","18","0:22.5","6:06.0","2:05","2:05","33","150","152","10","--","--"
"","1.18","Freestyle","1","18","0:23.2","6:29.2","2:09","2:09","32","147","152","9","--","--"
"","1.19","Freestyle","1","18","0:21.9","6:51.1","2:02","2:02","31","142","144","9","--","--"
"","1.20","Freestyle","1","18","0:20.4","7:11.5","1:53","1:53","30","139","142","10","--","--"
"","1.21","Freestyle","1","18","0:24.9","7:36.4","2:18","2:18","35","139","143","10","--","--"
"","1.22","Freestyle","1","18","0:24.5","8:00.9","2:16","2:16","35","143","145","10","--","--"
"","1.23","Freestyle","1","18","0:23.6","8:24.4","2:11","2:11","34","140","144","10","--","--"
"","1.24","Freestyle","1","18","0:23.2","8:47.6","2:09","2:09","32","138","140","9","--","--"
"","1.25","Freestyle","1","18","0:15.9","9:03.6","1:29","1:29","24","142","146","8","--","--"
"","1.26","Freestyle","1","18","0:24.7","9:28.2","2:17","2:17","35","148","150","10","--","--"
"","1.27","Freestyle","1","18","0:21.5","9:49.7","1:59","1:59","32","135","145","10","--","--"
"","1.28","Freestyle","1","18","0:21.6","10:11","2:00","2:00","32","143","145","10","--","--"
"","1.29","Freestyle","1","18","0:22.3","10:34","2:04","2:04","31","147","152","9","--","--"
"","1.30","Freestyle","1","18","0:18.8","10:52","1:44","1:44","28","150","152","9","--","--"
"","1.31","Freestyle","1","18","0:25.4","11:18","2:21","2:21","35","150","157","10","--","--"
"","1.32","Freestyle","1","18","0:23.3","11:41","2:09","2:09","33","146","149","10","--","--"
"","1.33","Freestyle","1","18","0:19.6","12:01","1:49","1:49","29","144","145","9","--","--"
"","1.34","Freestyle","1","18","0:29.7","12:30","2:45","2:45","40","145","152","10","--","--"
"","1.35","Freestyle","1","18","0:15","12:45","1:23","1:23","22","137","139","7","--","--"
"","1.36","Freestyle","1","18","0:22.8","13:08","2:06","2:06","33","142","151","10","--","--"
"","1.37","Freestyle","1","18","0:24.8","13:33","2:18","2:18","34","151","152","9","--","--"
"","1.38","Freestyle","1","18","0:22.1","13:55","2:03","2:03","32","146","148","10","--","--"
"","1.39","Freestyle","1","18","0:22.6","14:18","2:06","2:06","32","144","165","9","--","--"
"","1.40","Freestyle","1","18","0:19.3","14:37","1:47","1:47","28","167","171","9","--","--"
"","","Rest","0","0","0:31.7","15:09","0","0","0","139","170","0","0","7"
"","2","Freestyle","16","288","6:12.8","21:21","2:09","1:27","33","136","148","156","10","81"
"","2.1","Freestyle","1","18","0:26.1","0:26.1","2:25","2:25","36","115","121","10","--","--"
"","2.2","Freestyle","1","18","0:22.8","0:48.9","2:07","2:07","32","123","125","9","--","--"
"","2.3","Freestyle","1","18","0:23.8","1:12.7","2:12","2:12","34","126","128","10","--","--"
"","2.4","Freestyle","1","18","0:15.7","1:28.4","1:27","1:27","24","131","135","8","--","--"
"","2.5","Freestyle","1","18","0:25.3","1:53.7","2:21","2:21","35","141","148","10","--","--"
"","2.6","Freestyle","1","18","0:22.4","2:16.1","2:05","2:05","31","143","148","9","--","--"
"","2.7","Freestyle","1","18","0:23.9","2:40.1","2:13","2:13","35","140","142","11","--","--"
"","2.8","Freestyle","1","18","0:19.8","2:59.8","1:50","1:50","29","137","138","9","--","--"
"","2.9","Freestyle","1","18","0:33.3","3:33.1","3:05","3:05","44","139","147","11","--","--"
"","2.10","Freestyle","1","18","0:22.2","3:55.3","2:03","2:03","32","140","144","10","--","--"
"","2.11","Freestyle","1","18","0:22.4","4:17.7","2:04","2:04","32","143","143","10","--","--"
"","2.12","Freestyle","1","18","0:18.6","4:36.2","1:43","1:43","27","140","145","8","--","--"
"","2.13","Freestyle","1","18","0:30.4","5:06.7","2:49","2:49","42","142","148","12","--","--"
"","2.14","Freestyle","1","18","0:24.3","5:31.0","2:15","2:15","34","136","143","10","--","--"
"","2.15","Freestyle","1","18","0:24.7","5:55.7","2:17","2:17","35","142","143","10","--","--"
"","2.16","Freestyle","1","18","0:17.1","6:12.8","1:35","1:35","26","138","141","9","--","--"
"","","Rest","0","0","0:01.3","21:23","0","0","0","138","138","0","0","0"
"","Summary","","56","1,008","21:23","21:23","2:04","1:23","32","138","171","529","9","306"
