"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Mixed","56","1,008","21:47","21:47","2:03","1:27","31","128","165","507","9","274"
"","1.1","--","1","--","0:47","0:47","--","--","--","83","87","--","--","--"
"","1.2","Freestyle","1","18","0:19.8","1:06.8","1:50","1:50","29","88","95","9","--","--"
"","1.3","Freestyle","1","18","0:21.1","1:27.8","1:57","1:57","30","95","99","9","--","--"
"","1.4","Freestyle","1","18","0:20.4","1:48.2","1:54","1:54","29","98","100","9","--","--"
"","1.5","Freestyle","1","18","0:18.1","2:06.4","1:41","1:41","27","99","100","9","--","--"
"","1.6","Freestyle","1","18","0:21.5","2:27.9","1:59","1:59","31","99","101","9","--","--"
"","1.7","Freestyle","1","18","0:18.9","2:46.8","1:45","1:45","27","101","102","8","--","--"
"","1.8","Freestyle","1","18","0:23","3:09.8","2:08","2:08","31","102","103","8","--","--"
"","1.9","Freestyle","1","18","0:21.8","3:31.6","2:01","2:01","31","100","102","9","--","--"
"","1.10","Freestyle","1","18","0:20.9","3:52.5","1:56","1:56","31","101","106","10","--","--"
"","1.11","Freestyle","1","18","0:21.2","4:13.7","1:58","1:58","31","109","111","10","--","--"
"","1.12","Freestyle","1","18","0:20.3","4:34.0","1:53","1:53","29","106","110","9","--","--"
"","1.13","Freestyle","1","18","0:23.8","4:57.7","2:12","2:12","33","102","103","9","--","--"
"","1.14","Freestyle","1","18","0:20.8","5:18.6","1:56","1:56","30","103","105","9","--","--"
"","1.15","Freestyle","1","18","0:24","5:42.6","2:13","2:13","33","105","108","9","--","--"
"","1.16","Freestyle","1","18","0:20.5","6:03.1","1:54","1:54","31","105","107","10","--","--"
"","1.17","Freestyle","1","18","0:23.4","6:26.4","2:10","2:10","32","102","104","9","--","--"
"","1.18","Freestyle","1","18","0:22.1","6:48.6","2:03","2:03","32","98","100","10","--","--"
"","1.19","Freestyle","1","18","0:22.3","7:10.8","2:04","2:04","31","98","100","9","--","--"
"","1.20","Freestyle","1","18","0:21.4","7:32.2","1:59","1:59","29","98","99","8","--","--"
"","1.21","Freestyle","1","18","0:23.4","7:55.6","2:10","2:10","32","98","99","9","--","--"
"","1.22","Freestyle","1","18","0:21.6","8:17.2","2:00","2:00","31","99","102","9","--","--"
"","1.23","Freestyle","1","18","0:22.3","8:39.5","2:04","2:04","31","102","103","9","--","--"
"","1.24","Freestyle","1","18","0:24.9","9:04.4","2:18","2:18","34","102","105","9","--","--"
"","1.25","Freestyle","1","18","0:18.3","9:22.7","1:42","1:42","27","127","135","9","--","--"
"","1.26","Freestyle","1","18","0:27.2","9:49.9","2:31","2:31","37","144","147","10","--","--"
"","1.27","Freestyle","1","18","0:21.2","10:11","1:58","1:58","30","145","148","9","--","--"
