"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1.28","Freestyle","1","18","0:23.1","10:34","2:09","2:09","33","147","149","10","--","--"
"","1.29","Freestyle","1","18","0:20.5","10:55","1:54","1:54","31","144","149","10","--","--"
"","1.30","Freestyle","1","18","0:32.4","11:27","3:00","3:00","43","154","157","11","--","--"
"","1.31","Freestyle","1","18","0:21","11:48","1:57","1:57","29","151","155","8","--","--"
"","1.32","Freestyle","1","18","0:19.1","12:07","1:46","1:46","27","148","150","8","--","--"
"","1.33","Freestyle","1","18","0:19.9","12:27","1:51","1:51","28","152","158","8","--","--"
"","1.34","Freestyle","1","18","0:24.5","12:52","2:16","2:16","33","148","158","8","--","--"
"","1.35","--","1","--","0:22.3","13:14","--","--","--","157","165","--","--","--"
"","1.36","Freestyle","1","18","0:21.7","13:36","2:00","2:00","30","145","147","8","--","--"
"","1.37","Freestyle","1","18","0:19.6","13:55","1:49","1:49","29","149","155","9","--","--"
"","1.38","Freestyle","1","18","0:23.8","14:19","2:12","2:12","33","152","155","9","--","--"
"","1.39","Freestyle","1","18","0:22.2","14:41","2:03","2:03","32","140","155","10","--","--"
"","1.40","Freestyle","1","18","0:17.9","14:59","1:40","1:40","27","146","149","9","--","--"
"","1.41","Freestyle","1","18","0:22.9","15:22","2:07","2:07","33","150","153","10","--","--"
"","1.42","Freestyle","1","18","0:31.3","15:53","2:54","2:54","42","152","156","11","--","--"
"","1.43","Freestyle","1","18","0:23.7","16:17","2:12","2:12","33","145","151","9","--","--"
"","1.44","Freestyle","1","18","0:25.1","16:42","2:20","2:20","35","145","146","10","--","--"
"","1.45","Butterfly","1","18","0:15.7","16:58","1:27","1:27","23","145","150","7","--","--"
"","1.46","Freestyle","1","18","0:28.4","17:26","2:38","2:38","39","158","165","11","--","--"
"","1.47","Freestyle","1","18","0:23.2","17:50","2:09","2:09","32","159","164","9","--","--"
"","1.48","Freestyle","1","18","0:22.8","18:12","2:06","2:06","32","155","160","9","--","--"
"","1.49","Freestyle","1","18","0:18","18:30","1:40","1:40","27","149","152","9","--","--"
"","1.50","Freestyle","1","18","0:29.8","19:00","2:46","2:46","39","151","157","9","--","--"
"","1.51","Freestyle","1","18","0:20.5","19:21","1:54","1:54","30","146","152","9","--","--"
"","1.52","Freestyle","1","18","0:26.4","19:47","2:27","2:27","37","147","149","11","--","--"
"","1.53","Freestyle","1","18","0:17.6","20:05","1:38","1:38","26","150","153","8","--","--"
"","1.54","Freestyle","1","18","0:26.6","20:31","2:27","2:27","36","153","158","9","--","--"
"","1.55","Freestyle","1","18","0:20.8","20:52","1:56","1:56","31","150","151","10","--","--"
"","1.56","Freestyle","1","18","0:20.9","21:13","1:56","1:56","31","150","151","10","--","--"
"","1.57","Freestyle","1","18","0:18.1","21:31","1:40","1:40","26","153","155","8","--","--"
"","1.58","Breaststroke","1","18","0:16.0","21:47","1:29","1:29","20","160","164","4","--","--"
"","","Rest","0","0","0:01.2","21:48","0","0","0","162","162","0","0","0"
"","Summary","","56","1,008","21:48","21:48","2:03","1:27","31","128","165","507","9","274"
