"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Mixed","56","1,008","20:43","20:43","2:03","1:19","32","145","173","534","10","326"
"","1.1","Freestyle","1","18","0:24.8","0:24.8","2:18","2:18","33","103","114","8","--","--"
"","1.2","Freestyle","1","18","0:18.9","0:43.7","1:45","1:45","27","128","135","8","--","--"
"","1.3","Freestyle","1","18","0:24.9","1:08.6","2:19","2:19","34","138","140","9","--","--"
"","1.4","Freestyle","1","18","0:25.9","1:34.6","2:24","2:24","36","142","145","10","--","--"
"","1.5","Freestyle","1","18","0:21.4","1:55.9","1:59","1:59","30","148","151","9","--","--"
"","1.6","Freestyle","1","18","0:25.4","2:21.3","2:21","2:21","35","139","149","10","--","--"
"","1.7","Freestyle","1","18","0:20.3","2:41.6","1:53","1:53","29","139","139","9","--","--"
"","1.8","Freestyle","1","18","0:24.2","3:05.8","2:14","2:14","34","138","139","10","--","--"
"","1.9","Freestyle","1","18","0:19.2","3:25.0","1:47","1:47","28","137","138","9","--","--"
"","1.10","Freestyle","1","18","0:23.1","3:48.1","2:08","2:08","33","143","148","10","--","--"
"","1.11","Freestyle","1","18","0:20.9","4:09.0","1:56","1:56","29","144","146","8","--","--"
"","1.12","Freestyle","1","18","0:26.3","4:35.3","2:26","2:26","37","138","144","11","--","--"
"","1.13","Freestyle","1","18","0:22.2","4:57.5","2:03","2:03","31","136","138","9","--","--"
"","1.14","Freestyle","1","18","0:24.9","5:22.4","2:18","2:18","35","142","151","10","--","--"
"","1.15","Freestyle","1","18","0:22.4","5:44.8","2:05","2:05","31","141","150","9","--","--"
"","1.16","Freestyle","1","18","0:23.6","6:08.4","2:11","2:11","34","134","136","10","--","--"
"","1.17","Freestyle","1","18","0:20.5","6:28.9","1:54","1:54","29","136","137","8","--","--"
"","1.18","Freestyle","1","18","0:24.9","6:53.7","2:18","2:18","35","132","135","10","--","--"
"","1.19","Freestyle","1","18","0:20.9","7:14.7","1:56","1:56","30","132","137","9","--","--"
"","1.20","Freestyle","1","18","0:23.4","7:38.1","2:10","2:10","33","135","137","10","--","--"
"","1.21","Freestyle","1","18","0:20","7:58.1","1:51","1:51","29","136","139","9","--","--"
"","1.22","Freestyle","1","18","0:21.8","8:19.9","2:01","2:01","32","153","158","10","--","--"
"","1.23","Freestyle","1","18","0:23.2","8:43.1","2:09","2:09","33","156","158","10","--","--"
"","1.24","Freestyle","1","18","0:24.3","9:07.3","2:15","2:15","34","144","155","10","--","--"
"","1.25","Freestyle","1","18","0:18.9","9:26.2","1:45","1:45","28","144","147","9","--","--"
"","1.26","Freestyle","1","18","0:24","9:50.2","2:13","2:13","34","159","161","10","--","--"
"","1.27","Freestyle","1","18","0:21.5","10:12","1:59","1:59","31","155","158","9","--","--"
"","1.28","Freestyle","1","18","0:21.3","10:33","1:58","1:58","31","148","150","10","--","--"
"","1.29","Freestyle","1","18","0:19.2","10:52","1:47","1:47","28","147","148","9","--","--"
"","1.30","Freestyle","1","18","0:14.3","11:06","1:19","1:19","22","141","144","8","--","--"
"","1.31","Freestyle","1","18","0:28.8","11:35","2:40","2:40","40","146","150","11","--","--"
"","1.32","Freestyle","1","18","0:24.4","12:00","2:16","2:16","34","155","158","10","--","--"
"","1.33","Freestyle","1","18","0:25.6","12:25","2:22","2:22","35","161","163","9","--","--"
"","1.34","Freestyle","1","18","0:24.4","12:50","2:16","2:16","34","146","152","10","--","--"
"","1.35","Freestyle","1","18","0:16.7","13:06","1:33","1:33","25","154","160","8","--","--"
"","1.36","Freestyle","1","18","0:25.1","13:31","2:19","2:19","35","157","162","10","--","--"
"","1.37","Freestyle","1","18","0:20.9","13:52","1:56","1:56","31","153","155","10","--","--"
"","1.38","Freestyle","1","18","0:23.3","14:16","2:10","2:10","33","151","154","10","--","--"
"","1.39","Freestyle","1","18","0:24.6","14:40","2:17","2:17","35","148","149","10","--","--"
"","1.40","Freestyle","1","18","0:17.8","14:58","1:39","1:39","26","148","152","8","--","--"
"","1.41","Freestyle","1","18","0:25.9","15:24","2:24","2:24","37","143","154","11","--","--"
"","1.42","Freestyle","1","18","0:23.8","15:48","2:12","2:12","35","138","140","11","--","--"
"","1.43","Freestyle","1","18","0:21.3","16:09","1:58","1:58","31","144","147","10","--","--"
"","1.44","Freestyle","1","18","0:20.4","16:29","1:53","1:53","28","146","150","8","--","--"
"","1.45","Freestyle","1","18","0:18.5","16:48","1:43","1:43","28","151","154","9","--","--"
"","1.46","Freestyle","1","18","0:21.7","17:10","2:00","2:00","34","152","154","12","--","--"
"","1.47","Freestyle","1","18","0:20.5","17:30","1:54","1:54","32","146","149","11","--","--"
"","1.48","Freestyle","1","18","0:17.6","17:48","1:38","1:38","25","153","156","7","--","--"
"","1.49","Freestyle","1","18","0:23.6","18:11","2:11","2:11","34","157","159","10","--","--"
"","1.50","Freestyle","1","18","0:27.9","18:39","2:35","2:35","38","153","156","10","--","--"
"","1.51","Freestyle","1","18","0:24.2","19:03","2:14","2:14","34","144","149","10","--","--"
"","1.52","Butterfly","1","18","0:16.8","19:20","1:33","1:33","27","149","155","10","--","--"
"","1.53","Freestyle","1","18","0:25.1","19:45","2:20","2:20","36","153","157","11","--","--"
"","1.54","Freestyle","1","18","0:19.7","20:05","1:49","1:49","29","159","160","9","--","--"
"","1.55","Freestyle","1","18","0:22.6","20:27","2:05","2:05","33","164","171","10","--","--"
"","1.56","Freestyle","1","18","0:15.5","20:43","1:26","1:26","25","171","173","9","--","--"
"","","Rest","0","0","0:01.2","20:44","0","0","0","172","172","0","0","0"
"","Summary","","56","1,008","20:44","20:44","2:03","1:19","32","145","173","534","10","326"
