"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Freestyle","35","630","13:23","13:23","2:07","1:46","33","133","147","341","10","183"
"","1.1","Freestyle","1","18","0:21.3","0:21.3","1:58","1:58","31","98","107","10","--","--"
"","1.2","Freestyle","1","18","0:20.3","0:41.5","1:52","1:52","29","114","120","9","--","--"
"","1.3","Freestyle","1","18","0:21.4","1:02.9","1:59","1:59","30","120","121","9","--","--"
"","1.4","Freestyle","1","18","0:21.6","1:24.5","2:00","2:00","31","122","123","9","--","--"
"","1.5","Freestyle","1","18","0:21.6","1:46.1","2:00","2:00","31","122","124","9","--","--"
"","1.6","Freestyle","1","18","0:22.3","2:08.3","2:04","2:04","31","124","125","9","--","--"
"","1.7","Freestyle","1","18","0:23.6","2:31.9","2:11","2:11","35","125","126","11","--","--"
"","1.8","Freestyle","1","18","0:22.5","2:54.4","2:05","2:05","31","129","131","8","--","--"
"","1.9","Freestyle","1","18","0:20.3","3:14.7","1:53","1:53","30","130","131","10","--","--"
"","1.10","Freestyle","1","18","0:23.3","3:38.1","2:10","2:10","33","132","135","10","--","--"
"","1.11","Freestyle","1","18","0:20.9","3:58.9","1:56","1:56","31","134","135","10","--","--"
"","1.12","Freestyle","1","18","0:26.1","4:25.1","2:25","2:25","36","134","135","10","--","--"
"","1.13","Freestyle","1","18","0:24.5","4:49.6","2:16","2:16","36","133","134","11","--","--"
"","1.14","Freestyle","1","18","0:22.9","5:12.4","2:07","2:07","33","133","134","10","--","--"
"","1.15","Freestyle","1","18","0:23.2","5:35.6","2:09","2:09","33","133","134","10","--","--"
"","1.16","Freestyle","1","18","0:21.8","5:57.4","2:01","2:01","32","130","132","10","--","--"
"","1.17","Freestyle","1","18","0:20.9","6:18.2","1:56","1:56","30","132","133","9","--","--"
"","1.18","Freestyle","1","18","0:24.9","6:43.1","2:18","2:18","34","136","138","9","--","--"
"","1.19","Freestyle","1","18","0:21.2","7:04.3","1:58","1:58","31","141","143","10","--","--"
"","1.20","Freestyle","1","18","0:23.7","7:28.0","2:12","2:12","34","143","144","10","--","--"
"","1.21","Freestyle","1","18","0:25","7:53.0","2:19","2:19","36","141","143","11","--","--"
"","1.22","Freestyle","1","18","0:20.3","8:13.3","1:53","1:53","29","140","142","9","--","--"
"","1.23","Freestyle","1","18","0:24.6","8:37.9","2:16","2:16","35","140","143","10","--","--"
"","1.24","Freestyle","1","18","0:19","8:56.9","1:46","1:46","29","139","140","10","--","--"
"","1.25","Freestyle","1","18","0:25.1","9:21.9","2:19","2:19","35","131","138","10","--","--"
"","1.26","Freestyle","1","18","0:25.6","9:47.6","2:22","2:22","36","139","141","10","--","--"
"","1.27","Freestyle","1","18","0:24.6","10:12","2:16","2:16","34","138","142","9","--","--"
"","1.28","Freestyle","1","18","0:22","10:34","2:02","2:02","32","138","140","10","--","--"
"","1.29","Freestyle","1","18","0:20.6","10:55","1:55","1:55","29","140","145","8","--","--"
"","1.30","Freestyle","1","18","0:25.9","11:21","2:24","2:24","37","141","144","11","--","--"
"","1.31","Freestyle","1","18","0:23.2","11:44","2:09","2:09","33","141","142","10","--","--"
"","1.32","Freestyle","1","18","0:21.6","12:05","2:00","2:00","32","138","141","10","--","--"
"","1.33","Freestyle","1","18","0:26.3","12:32","2:26","2:26","36","134","137","10","--","--"
"","1.34","Freestyle","1","18","0:25.4","12:57","2:21","2:21","35","139","144","10","--","--"
"","1.35","Freestyle","1","18","0:25.9","13:23","2:24","2:24","36","140","145","10","--","--"
"","","Rest","0","0","0:20.4","13:43","0","0","0","136","148","0","0","5"
"","2","Freestyle","21","378","8:07.6","21:51","2:09","1:24","33","140","160","208","10","116"
"","2.1","Freestyle","1","18","0:24.9","0:24.9","2:19","2:19","35","119","120","10","--","--"
"","2.2","Freestyle","1","18","0:23.3","0:48.2","2:09","2:09","33","118","123","10","--","--"
"","2.3","Freestyle","1","18","0:25.4","1:13.6","2:21","2:21","35","131","139","10","--","--"
"","2.4","Freestyle","1","18","0:22.5","1:36.1","2:05","2:05","32","139","140","9","--","--"
"","2.5","Freestyle","1","18","0:21.8","1:57.9","2:01","2:01","32","137","140","10","--","--"
"","2.6","Freestyle","1","18","0:22.6","2:20.5","2:06","2:06","33","133","137","10","--","--"
"","2.7","Freestyle","1","18","0:25.7","2:46.2","2:23","2:23","37","131","133","11","--","--"
"","2.8","Freestyle","1","18","0:22.2","3:08.4","2:03","2:03","32","128","133","10","--","--"
"","2.9","Freestyle","1","18","0:25.8","3:34.1","2:23","2:23","37","141","144","11","--","--"
"","2.10","Freestyle","1","18","0:24.1","3:58.2","2:14","2:14","34","144","146","10","--","--"
"","2.11","Freestyle","1","18","0:17.9","4:16.1","1:39","1:39","27","144","146","9","--","--"
"","2.12","Freestyle","1","18","0:25.4","4:41.5","2:21","2:21","35","143","147","10","--","--"
"","2.13","Freestyle","1","18","0:22.6","5:04.1","2:05","2:05","32","145","147","9","--","--"
"","2.14","Freestyle","1","18","0:24.9","5:28.9","2:18","2:18","36","142","144","11","--","--"
"","2.15","Freestyle","1","18","0:20.4","5:49.3","1:53","1:53","28","140","142","8","--","--"
"","2.16","Freestyle","1","18","0:27.5","6:16.8","2:33","2:33","39","145","150","11","--","--"
